STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : BITLIS DSI 173. SB. MUD.
EARTHQUAKE DATE         : 23/10/2011
EPICENTER COORDINATES   : 
EARTHQUAKE DEPTH (km)   : 
EARTHQUAKE MAGNITUDE    : 
STATION ID              : 1302
STATION COORDINATES     : 38.47440N-42.15912E
STATION ALTITUDE (m)    : 1794
RECORDER TYPE           : CMG-5TD
RECORDER SERIAL NO      : 5J60
RECORD TIME             : 23/10/2011 10:41:18 (GMT)
NUMBER OF DATA          : 19107
SAMPLING INTERVAL (sec) : 0.01000000
RAW PGA VALUES (cm/s^2) : (N-S)  89.668149 (E-W) 102.243526 (U-D)  35.511623
Copyright EARTHQUAKE RESEARCH DEPARTMENT 
GENERAL DIRECTORATE OF DISASTER AFFAIRS 
       N-S           E-W           U-D
     0.003709       0.006545       0.003096  
    -0.001643      -0.005419       0.003406  
     0.004653       0.000248       0.004336  
    -0.003532       0.008749      -0.004036  
     0.003394      -0.005104       0.004956  
     0.005598      -0.011716      -0.000005  
    -0.002588       0.004341      -0.000935  
     0.009061       0.001822       0.001545  
     0.012209       0.006545      -0.002486  
    -0.000384       0.002137       0.008367  
     0.004338       0.004026      -0.009617  
     0.003394       0.004971       0.004646  
     0.004024       0.000248       0.004336  
     0.007172       0.005285      -0.007137  
     0.009376       0.001507       0.003406  
     0.004338       0.000563      -0.002486  
     0.005283      -0.001011       0.006196  
     0.015043       0.009378      -0.000625  
    -0.005421       0.003711       0.003716  
    -0.006681      -0.011716       0.004026  
     0.013154       0.003082      -0.002796  
    -0.001329      -0.004160       0.003716  
     0.005598      -0.002585      -0.002176  
     0.014098       0.005285       0.004956  
    -0.000069      -0.000696       0.001545  
     0.007487       0.002452      -0.001245  
     0.013783      -0.005419       0.011468  
    -0.004162       0.001193      -0.000005  
    -0.004477       0.001507       0.003716  
    -0.001329       0.004656       0.005886  
    -0.001643       0.010952      -0.003416  
     0.012839      -0.001011       0.005576  
    -0.007940       0.001193      -0.004036  
    -0.002273       0.004026       0.001545  
     0.014413       0.003082       0.004646  
    -0.001643       0.009063      -0.005276  
     0.007802      -0.007623       0.007747  
     0.007172      -0.003530      -0.002796  
     0.002135       0.015675       0.003096  
     0.014413      -0.000382      -0.000935  
     0.004968       0.004026      -0.002486  
     0.004653      -0.001326       0.007747  
     0.010320      -0.005104      -0.005276  
    -0.001958       0.003396       0.007437  
    -0.004162      -0.001956      -0.002486  
    -0.002588      -0.000696      -0.001245  
     0.000246      -0.002271       0.005886  
     0.002449       0.004971      -0.008687  
    -0.000384       0.001193       0.008367  
     0.004024       0.001507      -0.008067  
     0.006857       0.006230      -0.000315  
     0.014413       0.000563       0.010538  
     0.010005       0.002137      -0.005276  
     0.005283       0.003082       0.013948  
     0.006542       0.002452       0.000305  
    -0.001643       0.004026       0.005886  
     0.002764       0.002767       0.006196  
     0.001820       0.004341      -0.001866  
     0.002449      -0.000067       0.008677  
     0.001820       0.002452       0.000925  
     0.002449       0.000878       0.000305  
     0.000560      -0.001326      -0.005276  
    -0.001014       0.001507       0.005266  
     0.004024       0.000248       0.002165  
     0.003709       0.010323      -0.009617  
     0.009061      -0.001641       0.009297  
     0.005283       0.002452      -0.006207  
     0.005283       0.007174      -0.001555  
     0.017876      -0.008252       0.004336  
     0.003394      -0.005419      -0.008067  
     0.001190      -0.000696       0.005266  
     0.012839       0.003711      -0.004036  
     0.003079       0.002452       0.004026  
    -0.000384      -0.002271       0.003716  
     0.003709       0.010638       0.003716  
     0.003394       0.006545       0.007437  
    -0.010144       0.001822      -0.003106  
    -0.001014       0.008749       0.008987  
     0.013783       0.004971       0.002165  
    -0.005421      -0.003215      -0.000625  
     0.004338      -0.004160       0.006817  
     0.010950       0.006860      -0.004656  
    -0.001958       0.000878       0.003096  
     0.005598      -0.001326       0.000305  
     0.004653       0.004341      -0.002796  
     0.003709       0.005915       0.003096  
     0.000560       0.005915      -0.007137  
     0.013469       0.000563       0.008677  
     0.009376       0.002452      -0.000625  
    -0.002903      -0.000067       0.000925  
     0.011580      -0.000067       0.008057  
     0.002764       0.006545      -0.000315  
     0.003394      -0.005104       0.005576  
     0.008746       0.000248      -0.002486  
     0.000560      -0.009512       0.006196  
     0.008746      -0.000382      -0.002796  
     0.001505       0.006860      -0.000005  
    -0.004477      -0.010456       0.004646  
    -0.003847       0.003711      -0.000625  
    -0.009829       0.006545       0.002476  
     0.002449       0.004656      -0.000005  
    -0.002588       0.003711      -0.005586  
     0.000246       0.009378       0.000615  
     0.015672       0.001193      -0.000625  
     0.020395      -0.000067      -0.003416  
     0.017561       0.006860       0.007437  
    -0.000384       0.000878       0.004336  
     0.007802      -0.002271       0.004026  
     0.011580       0.005600       0.004956  
     0.004338      -0.001326       0.010227  
    -0.001329      -0.000067      -0.005897  
    -0.007310       0.006230       0.010538  
     0.003394      -0.001011       0.002786  
    -0.003532       0.005600      -0.007757  
     0.001190      -0.003530       0.008057  
    -0.001958      -0.001011      -0.001866  
    -0.001014       0.002137      -0.000005  
     0.009061       0.003711      -0.005276  
     0.008431       0.001193       0.004956  
     0.006227      -0.004160      -0.002486  
     0.002135       0.006545       0.002786  
     0.014728      -0.001326       0.001235  
     0.004968       0.002452      -0.004036  
    -0.000699      -0.001956       0.008057  
     0.009376       0.001193      -0.010858  
     0.012839       0.012527       0.005886  
     0.004338      -0.006678       0.001855  
     0.000246      -0.000382      -0.005276  
     0.003709       0.008119       0.005576  
    -0.002273       0.003396      -0.003106  
    -0.001643      -0.001011       0.008057  
     0.001190       0.004341       0.000925  
     0.001505       0.001193       0.004646  
     0.003079       0.000563       0.004646  
     0.007172       0.004026       0.000615  
     0.004338      -0.002585       0.007437  
     0.008746       0.001193      -0.006207  
     0.013154      -0.008252       0.008677  
     0.000560      -0.001641      -0.000005  
     0.000560       0.004026      -0.005897  
     0.015672       0.000563       0.010538  
     0.004653       0.004971      -0.003726  
    -0.012033       0.007174       0.003096  
     0.002135       0.013786       0.000305  
    -0.000699       0.004656      -0.000935  
     0.000875       0.003396       0.002165  
     0.009376       0.008119      -0.003726  
     0.003079      -0.010456       0.004336  
     0.008746      -0.005734      -0.000005  
     0.005913       0.005285      -0.000625  
     0.011265      -0.003845       0.002786  
     0.005598       0.002452      -0.004036  
    -0.001643       0.002137       0.005576  
     0.006857       0.001822       0.002786  
     0.000560       0.006230       0.002476  
    -0.000699      -0.000067       0.003406  
    -0.000384       0.001822       0.000925  
     0.008746       0.002452       0.006817  
     0.007172       0.006545      -0.001555  
    -0.000069      -0.001011       0.003716  
     0.002449      -0.000382       0.001545  
     0.014413       0.002767      -0.000005  
     0.015043      -0.005419       0.002165  
    -0.004477       0.001193       0.001235  
     0.002135       0.003082      -0.000935  
    -0.003532       0.004971       0.000925  
    -0.002273       0.000878       0.007747  
     0.004653       0.005285      -0.005586  
    -0.000384       0.005600       0.004026  
     0.000875      -0.003215       0.004336  
    -0.001329       0.003082      -0.002796  
     0.011580       0.005600       0.002165  
     0.013783      -0.003530       0.002476  
     0.007487      -0.007623       0.008677  
     0.005913       0.003711      -0.004036  
    -0.001958       0.002137       0.004026  
     0.004338       0.004971       0.003096  
     0.009061       0.009378       0.003716  
    -0.000384      -0.005419       0.003406  
    -0.004477      -0.003845      -0.002176  
     0.002135       0.013471      -0.003106  
     0.008431       0.008119      -0.003106  
     0.007487      -0.007623       0.006196  
     0.004653      -0.000696      -0.002796  
     0.000246      -0.001956       0.000615  
     0.005598       0.001822      -0.000625  
     0.006542       0.009063      -0.004656  
     0.005913      -0.008252       0.006196  
     0.010635      -0.009197       0.003716  
     0.008116       0.002452       0.000925  
    -0.001014       0.004971      -0.001866  
    -0.005107       0.000878       0.006817  
     0.006227      -0.000696       0.007747  
     0.004968       0.007804      -0.004346  
     0.008116       0.000563       0.015809  
     0.013469       0.002767      -0.009928  
     0.000875       0.011267       0.001545  
     0.009376      -0.006993       0.011778  
     0.002764      -0.003530      -0.004346  
     0.000246       0.010952       0.006817  
     0.003079       0.006860       0.000615  
    -0.001958       0.009693       0.000925  
     0.009691       0.003082      -0.005276  
     0.006542      -0.001011       0.001235  
     0.004338       0.005915       0.001235  
    -0.006995       0.008749       0.000925  
    -0.006995       0.005600       0.003716  
     0.006857      -0.000067       0.000615  
     0.006542       0.006230       0.003096  
     0.005913       0.005600       0.004956  
    -0.004477       0.000248      -0.003106  
     0.000246      -0.001011       0.005576  
     0.006857      -0.009512       0.000925  
     0.000246      -0.010456       0.004646  
     0.010320       0.001822       0.000925  
     0.006227      -0.000696      -0.001245  
     0.004338      -0.001956       0.009917  
     0.004968       0.010638      -0.007137  
    -0.000699       0.001822       0.006196  
     0.008746      -0.009197       0.002786  
     0.004653       0.007489      -0.001245  
    -0.000069       0.005600       0.000925  
     0.002764      -0.000696      -0.003106  
     0.010005       0.003082       0.005886  
     0.007487       0.000563      -0.004966  
    -0.001329      -0.000696       0.004646  
     0.004653      -0.001641       0.002476  
     0.006227       0.002452      -0.003726  
     0.004968      -0.002271       0.008677  
     0.007802      -0.000067      -0.002796  
     0.003079       0.004656       0.000615  
     0.007487       0.003082       0.005266  
     0.002764       0.007489      -0.002486  
     0.000246       0.006230       0.001855  
     0.004653       0.002452       0.002165  
    -0.005421       0.006860      -0.000315  
     0.007487       0.012841       0.000925  
     0.003394       0.002137       0.005576  
    -0.001643      -0.001641       0.000615  
     0.008116       0.009063       0.002786  
     0.004968      -0.001641       0.006507  
     0.001190      -0.002271      -0.001866  
     0.005913       0.001822       0.009607  
     0.007802      -0.000382      -0.001555  
     0.000560      -0.008567       0.005576  
     0.001505      -0.001326       0.006507  
     0.000875       0.003396      -0.004966  
     0.000246      -0.009512       0.008367  
     0.001190       0.002137      -0.001245  
     0.002449       0.004971      -0.001866  
     0.001505       0.005915      -0.002176  
     0.007802      -0.000696       0.000305  
     0.010950       0.004341      -0.001245  
     0.002135       0.003396      -0.004036  
     0.000875      -0.003530       0.007437  
     0.008746       0.007804       0.004026  
     0.004968       0.003711       0.001545  
     0.003394       0.001822       0.006507  
     0.003709       0.006860      -0.002796  
    -0.001643       0.003711       0.005886  
     0.008116      -0.002585       0.008677  
     0.006857       0.004656      -0.000315  
    -0.002273       0.003082       0.003716  
     0.002449      -0.002271       0.005576  
     0.000875       0.007804      -0.005276  
    -0.004477       0.009693       0.001545  
    -0.000384      -0.010456       0.006817  
     0.005598       0.000248      -0.008997  
     0.006542       0.006230       0.001545  
    -0.000069      -0.011401      -0.005586  
     0.009691      -0.001011      -0.004656  
     0.005598       0.004656       0.002786  
    -0.001329       0.003396      -0.002176  
     0.007172      -0.001011      -0.000005  
    -0.004477       0.010323      -0.000625  
     0.007802       0.006860       0.001855  
     0.015672      -0.001956       0.003406  
     0.000246       0.006860       0.003716  
     0.002449      -0.001641       0.005886  
     0.010635       0.005915       0.005576  
     0.004968       0.002767       0.001235  
     0.005598      -0.003215       0.006817  
     0.011265       0.003396       0.000305  
    -0.003218       0.001822       0.005886  
     0.002764      -0.004160       0.006196  
     0.005598      -0.001011      -0.001245  
    -0.009199       0.006860       0.002165  
    -0.011088      -0.002271       0.002165  
     0.004024       0.005600       0.001235  
     0.002764       0.004971      -0.002176  
    -0.000069      -0.002900       0.002165  
     0.007802       0.002137      -0.000315  
     0.002135       0.004656       0.000925  
     0.005598       0.005915       0.002165  
     0.005598      -0.002900       0.006507  
     0.004338       0.001822      -0.000315  
     0.011894       0.001822       0.003406  
     0.017247      -0.002900       0.006196  
     0.001190       0.003082      -0.003106  
    -0.001014       0.005285       0.009297  
     0.000560      -0.000067      -0.001245  
    -0.005736      -0.004160       0.000925  
    -0.000699       0.002767       0.006507  
     0.011580       0.002137      -0.004656  
     0.007172       0.006860      -0.000625  
    -0.005421       0.009378      -0.001866  
     0.007487      -0.001956       0.002476  
     0.001190      -0.000696      -0.002486  
     0.005598       0.005600       0.003096  
     0.012209      -0.004474      -0.002486  
     0.009376       0.004971      -0.005276  
     0.013783       0.009693       0.002476  
     0.007487      -0.007938      -0.001245  
     0.003079      -0.003215       0.007437  
    -0.002273       0.006860       0.001235  
    -0.007625       0.003082       0.006817  
    -0.006681      -0.000067       0.007437  
    -0.000699       0.008434       0.002165  
     0.002764       0.004656       0.001855  
     0.001505      -0.000382       0.002476  
    -0.002588      -0.004160      -0.001245  
     0.008746       0.002767      -0.000315  
     0.011894       0.005915       0.001545  
     0.005913       0.002137      -0.001245  
     0.007172       0.005600       0.000615  
     0.010635       0.004341       0.000305  
     0.010320       0.005600      -0.000315  
     0.003079      -0.001011       0.001235  
     0.005913      -0.008567       0.005886  
     0.003709       0.003396      -0.005276  
    -0.007625       0.006860       0.001545  
     0.003079      -0.004474       0.011158  
     0.012209      -0.000067      -0.004036  
    -0.005421       0.001193       0.005886  
     0.003079      -0.004474       0.009297  
     0.005598      -0.001641      -0.002796  
    -0.003532       0.007174       0.007437  
    -0.003218       0.004026       0.001235  
     0.009691       0.001507       0.001855  
     0.010950       0.008119       0.000615  
    -0.000069       0.002767       0.000305  
     0.003709       0.000563       0.004336  
     0.010635       0.002452      -0.001555  
     0.008431      -0.002271      -0.002796  
     0.012524      -0.000696       0.005576  
     0.015358       0.002137      -0.002796  
     0.000875       0.008119      -0.004036  
     0.003709      -0.003530       0.004646  
     0.004024       0.002452       0.001235  
     0.004653       0.011582       0.008987  
    -0.005421      -0.003530      -0.004346  
    -0.002273       0.005285       0.004026  
     0.004024       0.009693       0.004956  
    -0.003218       0.003711      -0.007447  
    -0.007625      -0.000382       0.011468  
    -0.001329      -0.003215       0.004956  
     0.003394      -0.002900      -0.005276  
     0.006542       0.001822       0.000925  
     0.005283      -0.002900      -0.004656  
     0.003394      -0.003530       0.004026  
     0.003079       0.004026      -0.004036  
     0.009061       0.007804      -0.000315  
     0.021969      -0.001641       0.006817  
