STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : AGRI BAYINDIRLIK VE ISKAN MUD.
EARTHQUAKE DATE         : 23/10/2011
EPICENTER COORDINATES   : 
EARTHQUAKE DEPTH (km)   : 
EARTHQUAKE MAGNITUDE    : 
STATION ID              : 401
STATION COORDINATES     : 39.71991N-43.01585E
STATION ALTITUDE (m)    : 1610
RECORDER TYPE           : CMG-5TD
RECORDER SERIAL NO      : 5D60
RECORD TIME             : 23/10/2011 10:40:43 (GMT)
NUMBER OF DATA          : 22241
SAMPLING INTERVAL (sec) : 0.01000000
RAW PGA VALUES (cm/s^2) : (N-S)  18.459245 (E-W)  15.087845 (U-D)   7.217400
Copyright EARTHQUAKE RESEARCH DEPARTMENT 
GENERAL DIRECTORATE OF DISASTER AFFAIRS 
       N-S           E-W           U-D
     0.307979       0.238517       0.225889  
     0.356187      -0.553472      -0.054723  
    -0.130276      -0.067635      -0.235744  
    -0.268013       0.564704       0.077440  
     0.115147      -0.030070       0.228395  
     0.184642      -0.619210      -0.069130  
    -0.400115       0.068224      -0.233238  
    -0.170345       0.651103       0.120659  
     0.507072      -0.092678       0.208351  
     0.200920      -0.546585      -0.175612  
    -0.278656       0.127075      -0.195656  
    -0.201648       0.486444       0.149472  
     0.229093      -0.259215       0.178912  
     0.062557      -0.532811      -0.152437  
    -0.438932       0.331177      -0.148052  
     0.013096       0.577226       0.203966  
     0.486412      -0.334971       0.143209  
     0.100747      -0.495873      -0.216953  
    -0.310586       0.409437      -0.090426  
    -0.134032       0.420706       0.206472  
     0.245372      -0.445786       0.101868  
    -0.098346      -0.393822      -0.174986  
    -0.424532       0.488323      -0.062866  
     0.302971       0.345577       0.240296  
     0.481403      -0.444534       0.013551  
    -0.103980      -0.202868      -0.248271  
    -0.313090       0.513366      -0.014636  
     0.006836       0.157753       0.222757  
     0.261023      -0.597924       0.002902  
    -0.254865      -0.171564      -0.231359  
    -0.294308       0.604773       0.015430  
     0.371839       0.142727       0.229021  
     0.326136      -0.567246      -0.072888  
    -0.173475      -0.015671      -0.224469  
    -0.288673       0.540913       0.084330  
     0.105756      -0.072018       0.190813  
     0.170242      -0.587280      -0.075394  
    -0.417646       0.113928      -0.203172  
    -0.117128       0.562200       0.125670  
     0.528359      -0.180329       0.192065  
     0.169616      -0.492742      -0.171228  
    -0.276152       0.254795      -0.167470  
    -0.191631       0.495835       0.158868  
     0.214694      -0.307423       0.155110  
     0.034383      -0.498377      -0.144920  
    -0.427663       0.340568      -0.127382  
     0.082591       0.478305       0.197703  
     0.475768      -0.376292       0.121912  
     0.036261      -0.374414      -0.219458  
    -0.324986       0.463279      -0.081657  
    -0.128397       0.343698       0.196450  
     0.272919      -0.486482       0.078066  
    -0.133406      -0.308675      -0.183129  
    -0.369438       0.518374      -0.045328  
     0.371839       0.230378       0.218999  
     0.406274      -0.488360      -0.032801  
    -0.147806      -0.118347      -0.240754  
    -0.317473       0.518374       0.050506  
     0.006210       0.068850       0.222757  
     0.230346      -0.600428      -0.040943  
    -0.247352      -0.055740      -0.216953  
    -0.204153       0.606651       0.053012  
     0.405022       0.035042       0.205845  
     0.288571      -0.559107      -0.091679  
    -0.196640       0.050694      -0.187513  
    -0.269265       0.518374       0.106253  
     0.125164      -0.145895       0.185802  
     0.118278      -0.519038      -0.086668  
    -0.447697       0.244152      -0.174986  
    -0.023216       0.520253       0.142582  
     0.538376      -0.293649       0.158868  
     0.114521      -0.468951      -0.160579  
    -0.273021       0.307386      -0.125503  
    -0.160953       0.443245       0.162000  
     0.214068      -0.360640       0.117528  
    -0.067668      -0.405717      -0.173107  
    -0.391976       0.431975      -0.089800  
     0.168990       0.386898       0.196450  
     0.438204      -0.447665       0.057396  
    -0.016329      -0.278624      -0.226974  
    -0.328742       0.462027      -0.045954  
    -0.033233       0.204709       0.197076  
     0.274171      -0.504638       0.049880  
    -0.206657      -0.151530      -0.197535  
    -0.305578       0.592878       0.002902  
     0.377474       0.108293       0.223384  
     0.318623      -0.523420      -0.050339  
    -0.207283      -0.043218      -0.212568  
    -0.283039       0.509609       0.041111  
     0.136434      -0.031949       0.216494  
     0.190277      -0.553472      -0.065372  
    -0.322482       0.095771      -0.206304  
    -0.139667       0.580356       0.091847  
     0.433195      -0.138382       0.185175  
     0.220954      -0.564741      -0.126756  
    -0.278030       0.184048      -0.164964  
    -0.222935       0.462027       0.140703  
     0.204676      -0.248572       0.153857  
     0.037513      -0.423248      -0.128635  
    -0.410759       0.375628      -0.122371  
     0.127669       0.453262       0.202713  
     0.544637      -0.405091       0.093099  
     0.033757      -0.381926      -0.227601  
    -0.354412       0.403802      -0.079152  
    -0.116502       0.321160       0.237164  
     0.189651      -0.467073       0.085583  
    -0.151562      -0.303041      -0.229480  
    -0.295560       0.512114      -0.039691  
     0.315492       0.294238       0.230274  
     0.430065      -0.523420       0.012298  
    -0.111493      -0.175947      -0.225722  
    -0.331247       0.559069       0.032342  
    -0.000677       0.087006       0.240296  
     0.185894      -0.614828       0.008540  
    -0.309960      -0.090800      -0.223216  
    -0.230448       0.676772       0.032342  
     0.453230       0.085128       0.214614  
     0.307353      -0.562237      -0.109217  
    -0.233578       0.028155      -0.210689  
    -0.276778       0.515244       0.073055  
     0.168364      -0.152782       0.194571  
     0.106382      -0.574133      -0.105459  
    -0.405750       0.215978      -0.190645  
    -0.073928       0.654859       0.140077  
     0.482655      -0.182834       0.162000  
     0.168364      -0.569750      -0.185634  
    -0.318099       0.236639      -0.145547  
    -0.143423       0.412567       0.180164  
     0.272293      -0.351875       0.143835  
    -0.026347      -0.445786      -0.155569  
    -0.426411       0.436358      -0.110470  
     0.200920       0.439488       0.227768  
     0.518968      -0.442030       0.058649  
    -0.068294      -0.320571      -0.240128  
    -0.388846       0.478931      -0.060987  
    -0.038242       0.290482       0.225889  
     0.312988      -0.537820       0.069297  
    -0.157197      -0.289267      -0.218205  
    -0.326238       0.566582      -0.012130  
     0.318623       0.310516       0.258460  
     0.381231      -0.520290      -0.014636  
    -0.182240      -0.128991      -0.246392  
    -0.338760       0.535278       0.043616  
     0.102626      -0.019427       0.212109  
     0.241615      -0.632358      -0.024031  
    -0.324360      -0.005027      -0.215700  
    -0.188501       0.653607       0.078066  
     0.495177      -0.001897       0.217120  
     0.237232      -0.555976      -0.144294  
    -0.323108       0.113302      -0.208183  
    -0.289299       0.517748       0.117528  
     0.180885      -0.220398       0.191439  
     0.099495      -0.552220      -0.123624  
    -0.386968       0.257926      -0.173107  
     0.008714       0.602895       0.168263  
     0.522098      -0.275493       0.156989  
     0.110139      -0.511525      -0.215700  
    -0.386968       0.366863      -0.138657  
    -0.184118       0.424463       0.208351  
     0.276675      -0.426378       0.132560  
    -0.041372      -0.443282      -0.204425  
    -0.373194       0.452010      -0.119866  
     0.294206       0.402550       0.262845  
     0.449473      -0.430761       0.088088  
    -0.164084      -0.254833      -0.241381  
    -0.392602       0.493957      -0.056603  
     0.051913       0.197822       0.218999  
     0.339909      -0.599176       0.038605  
    -0.208535      -0.239181      -0.226974  
    -0.321229       0.622303       0.011045  
     0.326762       0.260430       0.238416  
     0.365579      -0.563489      -0.059108  
    -0.195388      -0.094556      -0.233238  
    -0.323108       0.542791       0.077440  
     0.132677      -0.000645       0.217120  
     0.204050      -0.592289      -0.057855  
    -0.381333       0.063215      -0.199414  
    -0.148432       0.658616       0.137571  
     0.504568      -0.100817       0.222131  
     0.212815      -0.571002      -0.155569  
    -0.326238       0.161510      -0.208810  
    -0.259248       0.544044       0.120659  
     0.235354      -0.252328       0.183296  
     0.101373      -0.567246      -0.134898  
    -0.399489       0.250413      -0.157448  
     0.026244       0.543417       0.174527  
     0.521472      -0.321823       0.130055  
     0.100747      -0.468951      -0.230733  
    -0.351907       0.421332      -0.117987  
    -0.150936       0.391906       0.197076  
     0.278554      -0.443282       0.100616  
    -0.102102      -0.390065      -0.196909  
    -0.430167       0.507105      -0.077899  
     0.302971       0.380637       0.258460  
     0.477647      -0.460186       0.041111  
    -0.103354      -0.243563      -0.228227  
    -0.345020       0.472045      -0.009625  
    -0.010695       0.138971       0.216494  
     0.236606      -0.604810      -0.001482  
    -0.291804      -0.155286      -0.255161  
    -0.301821       0.648599       0.011672  
     0.398135       0.184048       0.241548  
     0.394378      -0.550968      -0.054097  
    -0.148432      -0.019427      -0.214447  
    -0.316847       0.544044       0.091220  
     0.107008      -0.097687       0.222131  
     0.165233      -0.625471      -0.047833  
    -0.413889       0.109545      -0.201293  
    -0.134658       0.644842       0.098110  
     0.535246      -0.122730       0.162626  
     0.223459      -0.505890      -0.174986  
    -0.294308       0.251665      -0.165590  
    -0.234831       0.492705       0.160747  
     0.231598      -0.360014       0.173274  
     0.060052      -0.575385      -0.159953  
    -0.447697       0.314899      -0.144920  
     0.051913       0.513366       0.185802  
     0.504568      -0.333092       0.099989  
     0.060052      -0.358762      -0.270194  
    -0.335629       0.492079      -0.121118  
    -0.098346       0.362481       0.195823  
     0.302971      -0.494621       0.078693  
    -0.155945      -0.372535      -0.230106  
    -0.412011       0.475801      -0.094811  
     0.354309       0.253543       0.213362  
     0.412534      -0.512151      -0.045954  
    -0.191005      -0.143391      -0.284600  
    -0.338760       0.597260      -0.049086  
     0.039392       0.201579       0.175153  
     0.246624      -0.592915      -0.065372  
    -0.276778      -0.144643      -0.266436  
    -0.268013       0.599138       0.023572  
     0.376222       0.041303       0.205219  
     0.286693      -0.611071      -0.134898  
    -0.184118       0.060085      -0.269567  
    -0.275526       0.606651       0.051759  
     0.126417      -0.090174       0.142582  
     0.137686      -0.580393      -0.133019  
    -0.446445       0.155875      -0.231985  
    -0.072050       0.596008       0.126297  
     0.540881      -0.227285       0.147593  
     0.144573      -0.534690      -0.226974  
    -0.296186       0.269821      -0.186261  
    -0.185997       0.487696       0.135692  
     0.229720      -0.313684       0.105000  
    -0.017581      -0.464569      -0.211942  
    -0.453958       0.395663      -0.151810  
     0.101373       0.467662       0.183922  
     0.473264      -0.435143       0.056144  
     0.020609      -0.358135      -0.285227  
    -0.346899       0.500844      -0.133646  
    -0.103354       0.344325       0.117528  
     0.253511      -0.467073      -0.031548  
    -0.206031      -0.276119      -0.312160  
    -0.431419       0.549052      -0.148678  
     0.311110       0.177788       0.124418  
     0.393752      -0.562863      -0.131767  
    -0.138415      -0.113339      -0.314666  
    -0.311838       0.576600      -0.062240  
     0.030001       0.115806       0.142582  
     0.212189      -0.566620      -0.101701  
    -0.309960      -0.007532      -0.275205  
    -0.256117       0.642338       0.048627  
     0.378726      -0.009410       0.214614  
     0.280432      -0.627349      -0.106086  
    -0.246726       0.068850      -0.220084  
    -0.291804       0.540287       0.089967  
     0.167112      -0.177199       0.149472  
     0.142069      -0.545333      -0.145547  
    -0.421402       0.294864      -0.226348  
    -0.026347       0.610408       0.110011  
     0.510829      -0.278624       0.079946  
     0.042522      -0.457056      -0.278963  
    -0.361925       0.371872      -0.216953  
    -0.160327       0.478305       0.089967  
     0.267284      -0.380674       0.017935  
    -0.047007      -0.454552      -0.317171  
    -0.446445       0.436984      -0.214447  
     0.117652       0.451384       0.114396  
     0.398135      -0.425126      -0.029669  
    -0.066416      -0.280502      -0.318424  
    -0.367559       0.524009      -0.103580  
    -0.082068       0.251039       0.141956  
     0.259145      -0.550968      -0.030295  
    -0.229822      -0.227911      -0.305897  
    -0.345647       0.617921      -0.093558  
     0.386865       0.187179       0.148220  
     0.331770      -0.525298      -0.162459  
    -0.224187      -0.050105      -0.326567  
    -0.342516       0.572217      -0.060361  
     0.085722       0.047563       0.095605  
     0.173999      -0.565367      -0.233864  
    -0.376324       0.065720      -0.421148  
    -0.225439       0.653607      -0.131140  
     0.396256      -0.067635      -0.055976  
     0.218450      -0.580393      -0.404863  
    -0.309334       0.190935      -0.460609  
    -0.289299       0.548426      -0.116734  
     0.142695      -0.184086      -0.048460  
     0.028122      -0.487734      -0.300259  
    -0.468984       0.344325      -0.270820  
     0.028122       0.571591       0.108758  
     0.481403      -0.309301       0.016056  
    -0.015077      -0.362518      -0.346611  
    -0.401368       0.429471      -0.254535  
    -0.201022       0.390654       0.005408  
     0.158973      -0.454552      -0.134272  
    -0.180988      -0.347492      -0.455598  
    -0.422654       0.579730      -0.303391  
     0.195285       0.445123       0.039858  
     0.403143      -0.475838      -0.128008  
    -0.150310      -0.222276      -0.394841  
    -0.431419       0.602895      -0.136778  
    -0.039494       0.232256       0.121286  
     0.215320      -0.541576      -0.032174  
    -0.296186      -0.135252      -0.242634  
    -0.358794       0.627938       0.044243  
     0.339909       0.065094       0.276625  
     0.264780      -0.599802      -0.071009  
    -0.300569       0.012503      -0.266436  
    -0.340638       0.639207      -0.020900  
     0.088226       0.035668       0.087462  
     0.107008      -0.484603      -0.236996  
    -0.407002       0.221613      -0.347863  
    -0.169718       0.728111      -0.008999  
     0.405648      -0.055114       0.096231  
     0.134556      -0.507768      -0.254535  
    -0.398863       0.305508      -0.303391  
    -0.306830       0.570339      -0.013383  
     0.133930      -0.191599      -0.024658  
    -0.085824      -0.403839      -0.329072  
    -0.550374       0.467662      -0.329072  
    -0.006312       0.575974       0.005408  
     0.380604      -0.376292      -0.154942  
    -0.152814      -0.406344      -0.495060  
    -0.495279       0.418202      -0.334710  
    -0.134658       0.369368      -0.005240  
     0.285441      -0.411352      -0.111723  
    -0.150936      -0.207877      -0.402984  
    -0.398237       0.698685      -0.190019  
     0.194033       0.485818       0.119407  
     0.363074      -0.433265      -0.081657  
    -0.209161      -0.133373      -0.274578  
    -0.517192       0.616669       0.012924  
    -0.115876       0.160257       0.171395  
     0.075704      -0.560359      -0.189392  
    -0.463349      -0.010036      -0.493807  
    -0.413263       0.779449      -0.211942  
     0.299214       0.219109      -0.018394  
     0.148329      -0.466447      -0.346611  
    -0.421402       0.143979      -0.434302  
    -0.387594       0.671764      -0.079778  
     0.135182      -0.062626       0.079319  
     0.077582      -0.557855      -0.183755  
    -0.490271       0.232883      -0.210689  
    -0.188501       0.751275       0.104374  
     0.379352      -0.103948       0.056770  
     0.024366      -0.524046      -0.353501  
    -0.477123       0.336812      -0.288985  
    -0.311212       0.589121       0.106253  
     0.143321      -0.201616       0.099989  
    -0.066416      -0.348118      -0.167470  
    -0.428915       0.598512      -0.058482  
     0.264154       0.706824       0.367448  
     0.570932      -0.248572       0.225889  
    -0.070172      -0.204746      -0.143668  
    -0.497158       0.600391      -0.032174  
    -0.214170       0.404428       0.279130  
     0.163981      -0.474586       0.193318  
    -0.301195      -0.277371      -0.104833  
    -0.515314       0.641712       0.026704  
     0.137686       0.418202       0.193318  
     0.309232      -0.435143      -0.190019  
    -0.222309      -0.026940      -0.514477  
    -0.480879       0.735624      -0.244513  
    -0.082068       0.258552       0.009792  
     0.121408      -0.456430      -0.136151  
    -0.438932       0.031911      -0.272699  
    -0.338134       0.748145       0.051759  
     0.334275       0.148988       0.167011  
     0.065061      -0.396952      -0.275831  
    -0.548496       0.308638      -0.443071  
    -0.564148       0.790092      -0.152437  
    -0.078311       0.048189      -0.053471  
    -0.108989      -0.447665      -0.375423  
    -0.648668       0.288604      -0.439313  
    -0.279908       0.675520      -0.121118  
     0.319875      -0.125860      -0.178744  
     0.034383      -0.360014      -0.584630  
    -0.412637       0.544044      -0.507587  
    -0.271769       0.745015      -0.176239  
     0.130799      -0.094556      -0.316545  
    -0.246100      -0.267980      -0.751244  
    -0.746337       0.553435      -0.763145  
    -0.136536       0.550930      -0.464368  
     0.136434      -0.323701      -0.744980  
    -0.435176      -0.202868      -1.190953  
    -0.692494       0.630442      -1.101383  
    -0.321229       0.485192      -0.821397  
     0.075704      -0.261093      -0.927879  
    -0.390724       0.040676      -1.183437  
    -0.648042       0.901534      -1.021834  
    -0.068294       0.617295      -0.857100  
     0.035009      -0.221024      -1.202228  
    -0.479627       0.138971      -1.447764  
    -0.704389       0.798857      -1.120174  
    -0.427037       0.288604      -0.983626  
    -0.342516      -0.276745      -1.358820  
    -0.867796       0.339942      -1.616883  
    -0.602339       0.948490      -1.270502  
     0.180885       0.255421      -1.056285  
    -0.125893      -0.237928      -1.324370  
    -0.676216       0.453888      -1.196591  
    -0.591069       0.829535      -0.718673  
    -0.102728       0.066346      -0.732453  
    -0.164710      -0.309927      -1.271128  
    -0.721920       0.517122      -1.442127  
    -0.386968       0.885256      -1.085724  
     0.046905       0.043181      -1.056911  
    -0.381333      -0.243563      -1.368842  
    -0.790162       0.583486      -1.118921  
    -0.631138       0.677398      -0.551433  
    -0.160953      -0.126486      -0.443071  
    -0.510305      -0.117095      -0.796969  
    -0.985499       0.872109      -0.848957  
    -0.373194       0.846439      -0.562707  
    -0.169092      -0.045096      -0.800727  
    -0.678094       0.090137      -1.129570  
    -0.895343       0.805744      -0.962956  
    -0.636147       0.556565      -0.734332  
    -0.361925      -0.204120      -0.927253  
    -0.807066       0.182796      -1.167778  
    -0.841501       1.096245      -0.869001  
    -0.083946       0.748145      -0.588388  
    -0.015077      -0.118974      -0.854594  
    -0.572913       0.316777      -0.983000  
    -0.766371       0.965394      -0.571476  
    -0.423280       0.395663      -0.312160  
    -0.326238      -0.271111      -0.563960  
    -0.868422       0.311768      -0.837056  
    -0.616738       0.913430      -0.689233  
     0.173999       0.245404      -0.696123  
    -0.117128      -0.149025      -1.024340  
    -0.617365       0.632321      -0.786947  
    -0.624878       1.045532      -0.052844  
    -0.310586       0.242274       0.217746  
    -0.447071      -0.154034      -0.086668  
    -0.907239       0.629190      -0.094811  
    -0.458341       1.025498       0.229021  
    -0.009442       0.237891       0.026704  
    -0.473993       0.003112      -0.611564  
    -0.916630       0.775066      -0.626597  
    -0.682477       0.698059      -0.084163  
    -0.150310      -0.208503       0.123165  
    -0.397611      -0.180329      -0.196282  
    -0.787658       0.895274      -0.312160  
    -0.084572       0.950995      -0.042822  
     0.292327       0.098276      -0.098569  
    -0.106485       0.256674      -0.124877  
    -0.388846       0.931586       0.256581  
    -0.297438       0.535278       0.452634  
    -0.195388      -0.402587       0.093726  
    -0.669955      -0.097687      -0.149931  
    -0.690616       0.860839       0.169516  
     0.077582       0.656112       0.367448  
     0.093234      -0.004401      -0.109217  
    -0.435802       0.505227      -0.445577  
    -0.413263       1.119410      -0.044702  
     0.052539       0.436358       0.289779  
     0.060052      -0.291145       0.212109  
    -0.754476       0.321160       0.269108  
    -0.649295       0.966646       0.916146  
     0.203424       0.347455       1.333933  
     0.112017       0.020642       1.062716  
    -0.350655       0.811379       1.029518  
    -0.442063       1.185774       1.397196  
    -0.145301       0.358724       1.429140  
    -0.354412      -0.179703       0.970013  
    -0.860283       0.403176       0.720719  
    -0.460219       0.548426       0.825322  
     0.043148      -0.265476       0.584171  
    -0.179110      -0.231668      -0.008372  
    -0.473993       0.860213      -0.063493  
    -0.300569       1.140070       0.275372  
    -0.090207       0.531522       0.132560  
    -0.626756       0.578478      -0.464368  
    -1.049985       1.312868      -0.561454  
    -0.344394       0.978542      -0.032801  
    -0.035738       0.039424       0.324855  
    -0.638025       0.254169       0.678753  
    -1.036211       0.983551       1.159803  
    -0.773258       0.775066       1.189242  
    -0.493401       0.113302       0.544710  
    -0.916004       0.492705       0.083704  
    -0.984873       1.301598       0.421942  
    -0.519070       0.920943       0.628017  
    -0.640529       0.212222       0.031715  
    -0.961082       0.610408      -0.331578  
    -0.658060       0.981672       0.353668  
    -0.078311       0.453888       1.199264  
    -0.277404       0.130832       1.312636  
    -1.305425       0.901534       1.055826  
    -1.302294       1.387997       1.191121  
    -0.556635       0.659868       1.509315  
    -0.573539       0.354342       1.752972  
    -0.973603       1.083723       2.084947  
    -1.224035       1.361076       2.235275  
    -1.042472       0.584739       1.898916  
    -1.031202       0.262934       1.278812  
    -0.951064       0.987307       1.005090  
    -0.259248       1.273425       1.043925  
     0.019983       0.699937       0.790246  
    -0.443315       0.887135       0.474557  
    -0.706268       1.737975       0.611731  
    -0.381333       1.603368       0.777719  
    -0.185370       0.823275       0.570391  
    -0.898474       0.812631       0.318591  
    -1.311686       1.428692       0.721972  
    -0.629886       1.068071       1.199890  
    -0.490271       0.321160       0.618621  
    -0.977986       0.788214      -0.090426  
    -1.029950       1.508830       0.234032  
    -0.504670       1.202678       0.845366  
    -0.290552       0.654233       0.624259  
    -0.900978       0.966646       0.304185  
    -1.006159       1.315372       0.768949  
    -0.311838       0.632321       1.216802  
    -0.171597      -0.011288       1.144143  
    -0.559139       0.548426       1.321405  
    -0.701259       0.978542       1.639600  
    -0.616112       0.475175       1.258769  
    -0.939795       0.244778       0.450129  
    -1.446292       0.909047       0.185802  
    -0.895969       1.123166       0.961244  
    -0.278030       0.248535       1.661523  
    -0.552252      -0.044470       1.908311  
    -0.715033       0.661746       2.689391  
    -0.253613       0.761919       3.653997  
     0.303597       0.095771       3.684689  
    -0.059529       0.254169       3.156035  
    -0.648668       1.150714       3.401571  
    -0.380081       1.164487       4.162607  
    -0.080815       0.177788       4.254683  
    -0.318099      -0.101443       3.902038  
    -0.268639       0.351211       4.177640  
     0.600358       0.144605       4.886061  
     1.325983      -0.369405       4.946819  
     0.986648       0.256674       4.130036  
     0.721817       1.362328       3.436021  
     1.024213       1.150714       3.142881  
     0.765643       0.407558       2.654315  
     0.080087       0.515870       2.257824  
    -0.269891       0.652981       2.376834  
     0.002453      -0.194729       2.792742  
     0.274171      -0.877781       3.164178  
     0.153964      -0.235424       3.609525  
     0.609123       0.569713       3.638964  
     1.173846       0.180292       2.567250  
     0.562793      -0.257337       1.149781  
    -0.330621       0.270447       0.857894  
    -0.433298       0.310516       1.467349  
     0.018105      -0.768217       1.510568  
     0.189651      -1.456903       0.795257  
     0.301719      -0.827694       0.343020  
     1.416764      -0.197859       0.773960  
     1.985870      -0.329962       1.251879  
     0.873328       0.142727       1.450437  
    -0.581678       1.099375       1.489898  
    -1.070019       0.752528       1.331427  
    -0.492149      -0.924110       0.996947  
    -0.274900      -1.780586       0.452634  
    -0.404498      -1.141986       0.122538  
    -0.223561      -0.808286      -0.107965  
    -0.136536      -1.120699      -0.766903  
     0.016853      -0.589158      -1.588697  
     0.465751       0.358098      -1.942594  
     0.852668       0.137093      -2.308393  
     0.470134      -0.644879      -3.152736  
    -0.664320      -0.501507      -3.996452  
    -0.895343      -0.087044      -4.292097  
     0.066939      -0.718131      -4.580226  
     0.349927      -1.234645      -5.191561  
    -0.179110      -0.408222      -5.164627  
    -0.420150       0.516496      -4.399833  
    -0.060781       0.136466      -4.092286  
    -0.038868      -0.457682      -4.773774  
    -0.599834       0.080745      -5.308065  
    -0.260500       0.603521      -4.973585  
     0.637297      -0.095183      -4.547655  
     0.619140      -0.635488      -4.914080  
     0.038140       0.041303      -5.670105  
    -0.021964       0.473297      -6.211913  
     0.473890      -0.062626      -6.550151  
     0.564045      -0.331214      -6.597755  
     0.143321       0.338064      -6.257638  
     0.178381       0.448880      -5.826071  
    -0.005686      -0.289893      -5.700171  
    -0.622999      -0.236676      -5.269230  
    -0.669329       0.605399      -4.265164  
    -0.162206       0.698685      -3.648192  
     0.167112      -0.073270      -3.606852  
    -0.375072      -0.211633      -3.331877  
    -0.870300       0.383141      -3.130813  
    -0.579174       0.301751      -3.543589  
    -0.755728      -0.530307      -4.327174  
    -1.507648      -0.311180      -4.696104  
    -1.696098       0.651103      -4.107319  
    -1.275373       0.469540      -3.386997  
    -1.049359      -0.425126      -3.001781  
    -1.535822      -0.448917      -2.436171  
    -1.360520       0.126449      -1.353809  
    -0.418272      -0.087670      -0.835803  
    -0.237961      -0.351249      -1.154624  
    -0.634895       0.366863      -0.965461  
    -0.865918       0.944734      -0.210689  
    -0.701885       0.303629      -0.012757  
    -0.841501      -0.562863      -0.640377  
    -1.389319      -0.494621      -1.256096  
    -0.917256      -0.378170      -1.551115  
    -0.169718      -1.044317      -1.823584  
    -0.393855      -1.240280      -1.989572  
    -0.539105      -0.181581      -1.373853  
     0.001201       0.339942      -0.376050  
     0.855172      -0.393196      -0.212568  
     0.848911      -0.808286      -1.076955  
    -0.022590      -0.281754      -1.808552  
    -0.318099      -0.242311      -1.493489  
    -0.686233      -1.090647      -1.195964  
    -1.180835      -1.083134      -1.428973  
    -0.696250      -0.151530      -1.712717  
     0.476394       0.138971      -2.279580  
     1.442433      -0.344362      -3.474688  
     1.061778      -0.216016      -4.406096  
     0.346170       0.381263      -3.853640  
     0.439456      -0.144017      -2.480017  
     0.525229      -1.439373      -1.197217  
     0.450725      -1.612171       0.220252  
     0.935310      -1.000492       1.776148  
     1.876306      -0.971692       2.562239  
     2.293900      -1.103169       2.330483  
     1.670952      -0.388187       2.031706  
     1.821211       0.110797       2.688138  
     2.844849      -0.978579       3.944631  
     2.881788      -2.244510       4.969368  
     2.385308      -2.369099       5.957775  
     2.017173      -2.126807       6.773932  
     2.163676      -2.516854       7.093379  
     2.090425      -2.405412       6.993160  
     1.399860      -1.224002       6.994413  
     1.150681      -0.511525       7.217400  
     1.212037      -1.264071       7.128455  
     0.654827      -2.129937       6.515868  
     0.090104      -1.932097       6.118125  
     0.045026      -2.023504       6.147564  
     0.487038      -2.641444       5.927083  
     0.633540      -2.514976       5.409704  
     0.795068      -1.540798       5.099652  
     2.126737      -1.141360       5.212398  
     2.926865      -1.409947       4.975631  
     2.419742      -0.820181       4.251551  
     1.671578       0.127075       3.516822  
     1.407999      -0.033827       3.160419  
     1.419269      -1.011135       3.281308  
     1.038613      -1.234019       3.622052  
     0.981640      -0.727522       3.826248  
     1.608344      -0.954788       3.751084  
     1.795542      -1.512624       3.792424  
     1.665943      -0.960423       4.275979  
     1.456833       0.025651       4.990664  
     0.936562      -0.073896       5.219915  
     0.137686      -0.779486       4.832193  
    -0.876561      -0.964805       4.076795  
    -0.959829      -1.178298       3.615788  
    -0.415141      -2.222597       3.734172  
    -0.841501      -2.660226       3.923961  
    -1.728654      -1.638466       4.105607  
    -2.125588      -0.522794       4.197057  
    -1.848861      -0.126486       4.054872  
    -1.646011       0.604773       3.757347  
    -1.818183       2.012824       3.714128  
    -1.625351       2.542486       3.943378  
    -1.540204       1.442466       3.881368  
    -2.138735       0.319281       3.231825  
    -2.561964       0.267317       2.501481  
    -2.230143       0.381263       1.984102  
    -1.538952       0.530270       1.369636  
    -1.382432       1.788687       0.674994  
    -1.281634       3.846607       0.221505  
    -0.094589       4.632336       0.099363  
     0.744356       4.013770       0.127549  
     0.602862       3.385187       0.020441  
     0.071322       2.812952      -0.683596  
    -0.443941       1.652202      -1.640059  
    -0.931030       0.699937      -2.298371  
    -1.548969       1.289077      -2.371656  
    -1.232174       2.872429      -1.659476  
    -0.210414       3.834712      -0.633487  
     0.043774       4.016275      -0.371665  
    -0.127771       4.371261      -0.835177  
    -0.405750       4.167785      -1.371974  
    -1.056246       2.897472      -1.795398  
    -2.161900       1.759888      -1.537335  
    -3.721461       1.592099      -0.732453  
    -4.198533       1.627159      -0.223843  
    -3.774678       0.852074      -0.569597  
    -3.701427       0.423836      -1.336897  
    -3.545533       1.239617      -1.722739  
    -3.052184       2.166213      -1.794771  
    -2.602659       2.128022      -1.977044  
    -2.646485       1.799331      -2.169965  
    -2.608294       1.765523      -1.886847  
    -1.824444       1.129427      -1.147108  
    -1.255965      -0.291771      -0.680464  
    -1.567752      -0.934128      -0.842693  
    -1.895191      -0.319319      -1.045010  
    -1.495127       0.227874      -1.045636  
    -0.858405       0.303003      -1.267997  
    -0.758232       0.696807      -1.512280  
    -0.947308       1.303477      -1.360073  
    -0.899100       0.758162      -1.309963  
    -1.305425      -0.433891      -1.968275  
    -1.993485      -0.608567      -2.591511  
    -2.069240       0.028155      -2.592137  
    -1.801905       0.163388      -2.514467  
    -1.854496       0.224117      -2.889661  
    -2.600781       1.215826      -3.412052  
    -2.698449       2.384088      -3.459029  
    -1.918356       2.471113      -3.247317  
    -1.611577       2.195012      -3.272372  
